name,path,flag,flag_pred,label,label_pred,score,score_pred,show
ID_2684,G:\Scrapes\experiment_light\ID_2684.jpg,0,0,2,0,0,0,True
ID_0234,G:\Scrapes\experiment_light\ID_0234.jpg,0,0,1,0,0,0,True
ID_1543,G:\Scrapes\experiment_light\ID_1543.jpg,0,0,1,0,0,0,True
ID_1404,G:\Scrapes\experiment_light\ID_1404.jpg,0,0,1,0,0,0,True
ID_1501,G:\Scrapes\experiment_light\ID_1501.jpg,0,0,2,0,0,0,True
ID_1628,G:\Scrapes\experiment_light\ID_1628.jpg,0,0,1,0,0,0,True
ID_0798,G:\Scrapes\experiment_light\ID_0798.jpg,0,0,1,0,0,0,True
ID_2846,G:\Scrapes\experiment_light\ID_2846.jpg,0,0,1,0,0,0,True
ID_2127,G:\Scrapes\experiment_light\ID_2127.jpg,0,0,1,0,0,0,True
ID_1225,G:\Scrapes\experiment_light\ID_1225.jpg,0,0,2,0,0,0,True
ID_1098,G:\Scrapes\experiment_light\ID_1098.jpg,0,0,2,0,0,0,True
ID_2232,G:\Scrapes\experiment_light\ID_2232.jpg,0,0,1,0,0,0,True
ID_0075,G:\Scrapes\experiment_light\ID_0075.jpg,0,0,2,0,0,0,True
ID_1962,G:\Scrapes\experiment_light\ID_1962.jpg,0,0,1,0,0,0,True
ID_1193,G:\Scrapes\experiment_light\ID_1193.jpg,0,0,2,0,0,0,True
ID_1625,G:\Scrapes\experiment_light\ID_1625.jpg,0,0,1,0,0,0,True
ID_0183,G:\Scrapes\experiment_light\ID_0183.jpg,0,0,2,0,0,0,True
ID_2570,G:\Scrapes\experiment_light\ID_2570.jpg,0,0,1,0,0,0,True
ID_1475,G:\Scrapes\experiment_light\ID_1475.jpg,0,0,2,0,0,0,True
ID_1096,G:\Scrapes\experiment_light\ID_1096.jpg,0,0,2,0,0,0,True
ID_0814,G:\Scrapes\experiment_light\ID_0814.jpg,0,0,2,0,0,0,True
ID_2216,G:\Scrapes\experiment_light\ID_2216.jpg,0,0,1,0,0,0,True
ID_0231,G:\Scrapes\experiment_light\ID_0231.jpg,0,0,2,0,0,0,True
ID_0419,G:\Scrapes\experiment_light\ID_0419.jpg,0,0,2,0,0,0,True
ID_2363,G:\Scrapes\experiment_light\ID_2363.jpg,0,0,1,0,0,0,True
ID_1088,G:\Scrapes\experiment_light\ID_1088.jpg,0,0,2,0,0,0,True
ID_3043,G:\Scrapes\experiment_light\ID_3043.jpg,0,0,1,0,0,0,True
ID_1484,G:\Scrapes\experiment_light\ID_1484.jpg,0,0,2,0,0,0,True
ID_2584,G:\Scrapes\experiment_light\ID_2584.jpg,0,0,1,0,0,0,True
ID_3202,G:\Scrapes\experiment_light\ID_3202.jpg,0,0,2,0,0,0,True
ID_2031,G:\Scrapes\experiment_light\ID_2031.jpg,0,0,1,0,0,0,True
ID_2346,G:\Scrapes\experiment_light\ID_2346.jpg,0,0,1,0,0,0,True
ID_1066,G:\Scrapes\experiment_light\ID_1066.jpg,0,0,1,0,0,0,True
ID_2873,G:\Scrapes\experiment_light\ID_2873.jpg,0,0,1,0,0,0,True
ID_1672,G:\Scrapes\experiment_light\ID_1672.jpg,0,0,1,0,0,0,True
ID_1309,G:\Scrapes\experiment_light\ID_1309.jpg,0,0,2,0,0,0,True
ID_3149,G:\Scrapes\experiment_light\ID_3149.jpg,0,0,2,0,0,0,True
ID_0917,G:\Scrapes\experiment_light\ID_0917.jpg,0,0,2,0,0,0,True
ID_0857,G:\Scrapes\experiment_light\ID_0857.jpg,0,0,2,0,0,0,True
ID_0666,G:\Scrapes\experiment_light\ID_0666.jpg,0,0,2,0,0,0,True
ID_0277,G:\Scrapes\experiment_light\ID_0277.jpg,0,0,1,0,0,0,True
ID_0305,G:\Scrapes\experiment_light\ID_0305.jpg,0,0,2,0,0,0,True
ID_1483,G:\Scrapes\experiment_light\ID_1483.jpg,0,0,2,0,0,0,True
ID_1614,G:\Scrapes\experiment_light\ID_1614.jpg,0,0,2,0,0,0,True
ID_0542,G:\Scrapes\experiment_light\ID_0542.jpg,0,0,2,0,0,0,True
ID_0989,G:\Scrapes\experiment_light\ID_0989.jpg,0,0,2,0,0,0,True
ID_2381,G:\Scrapes\experiment_light\ID_2381.jpg,0,0,1,0,0,0,True
ID_1110,G:\Scrapes\experiment_light\ID_1110.jpg,0,0,2,0,0,0,True
ID_2080,G:\Scrapes\experiment_light\ID_2080.jpg,0,0,1,0,0,0,True
ID_1565,G:\Scrapes\experiment_light\ID_1565.jpg,0,0,2,0,0,0,True
ID_0945,G:\Scrapes\experiment_light\ID_0945.jpg,0,0,2,0,0,0,True
ID_0650,G:\Scrapes\experiment_light\ID_0650.jpg,0,0,1,0,0,0,True
ID_2048,G:\Scrapes\experiment_light\ID_2048.jpg,0,0,1,0,0,0,True
ID_1245,G:\Scrapes\experiment_light\ID_1245.jpg,0,0,2,0,0,0,True
ID_1416,G:\Scrapes\experiment_light\ID_1416.jpg,0,0,2,0,0,0,True
ID_1013,G:\Scrapes\experiment_light\ID_1013.jpg,0,0,2,0,0,0,True
ID_2533,G:\Scrapes\experiment_light\ID_2533.jpg,0,0,1,0,0,0,True
ID_2443,G:\Scrapes\experiment_light\ID_2443.jpg,0,0,1,0,0,0,True
ID_2142,G:\Scrapes\experiment_light\ID_2142.jpg,0,0,1,0,0,0,True
ID_1040,G:\Scrapes\experiment_light\ID_1040.jpg,0,0,2,0,0,0,True
ID_2759,G:\Scrapes\experiment_light\ID_2759.jpg,0,0,1,0,0,0,True
ID_1029,G:\Scrapes\experiment_light\ID_1029.jpg,0,0,2,0,0,0,True
ID_3227,G:\Scrapes\experiment_light\ID_3227.jpg,0,0,2,0,0,0,True
ID_2281,G:\Scrapes\experiment_light\ID_2281.jpg,0,0,1,0,0,0,True
ID_1049,G:\Scrapes\experiment_light\ID_1049.jpg,0,0,2,0,0,0,True
ID_2964,G:\Scrapes\experiment_light\ID_2964.jpg,0,0,2,0,0,0,True
ID_0991,G:\Scrapes\experiment_light\ID_0991.jpg,0,0,2,0,0,0,True
ID_2066,G:\Scrapes\experiment_light\ID_2066.jpg,0,0,1,0,0,0,True
ID_1828,G:\Scrapes\experiment_light\ID_1828.jpg,0,0,1,0,0,0,True
ID_0735,G:\Scrapes\experiment_light\ID_0735.jpg,0,0,1,0,0,0,True
