val_loss,epoch,step,train_loss_epoch,train_loss_step
1.9929070472717285,0,3,,
,0,3,2.331836223602295,
1.9641786813735962,1,7,,
,1,7,2.3010127544403076,
1.9341297149658203,2,11,,
,2,11,2.269645929336548,
1.9009840488433838,3,15,,
,3,15,2.2363264560699463,
1.8634495735168457,4,19,,
,4,19,2.1993420124053955,
1.8168728351593018,5,23,,
,5,23,2.156290054321289,
1.755237340927124,6,27,,
,6,27,2.1005473136901855,
1.6699445247650146,7,31,,
,7,31,2.0260913372039795,
1.547971487045288,8,35,,
,8,35,1.9205992221832275,
1.3730006217956543,9,39,,
,9,39,1.770264744758606,
1.1338850259780884,10,43,,
,10,43,1.5555459260940552,
0.8390004634857178,11,47,,
,11,47,1.2662986516952515,
,12,49,,0.9334620237350464
0.537162184715271,12,51,,
,12,51,0.9274225234985352,
0.30706965923309326,13,55,,
,13,55,0.60154789686203,
0.18942959606647491,14,59,,
,14,59,0.3664747476577759,
0.15688572824001312,15,63,,
,15,63,0.2448720633983612,
0.1622859686613083,16,67,,
,16,67,0.20454391837120056,
0.175672248005867,17,71,,
,17,71,0.1998630166053772,
0.18521055579185486,18,75,,
,18,75,0.20252381265163422,
0.18888360261917114,19,79,,
,19,79,0.20536187291145325,
0.1883910596370697,20,83,,
,20,83,0.2061711996793747,
0.1845381110906601,21,87,,
,21,87,0.2042567878961563,
0.17909954488277435,22,91,,
,22,91,0.20187102258205414,
0.17312340438365936,23,95,,
,23,95,0.19885492324829102,
,24,99,,0.19923169910907745
0.16768603026866913,24,99,,
,24,99,0.19562263786792755,
0.1629110425710678,25,103,,
,25,103,0.1924436390399933,
0.15897236764431,26,107,,
,26,107,0.19042880833148956,
0.155669704079628,27,111,,
,27,111,0.18779586255550385,
0.15309450030326843,28,115,,
,28,115,0.1867879033088684,
0.15092690289020538,29,119,,
,29,119,0.18529319763183594,
0.14913305640220642,30,123,,
,30,123,0.18431036174297333,
0.14769701659679413,31,127,,
,31,127,0.18309374153614044,
0.14626000821590424,32,131,,
,32,131,0.17998410761356354,
0.14495916664600372,33,135,,
,33,135,0.17817285656929016,
0.14368189871311188,34,139,,
,34,139,0.1769680678844452,
0.14236672222614288,35,143,,
,35,143,0.1745377629995346,
0.1408773511648178,36,147,,
,36,147,0.17097613215446472,
,37,149,,0.1712549477815628
0.13932546973228455,37,151,,
,37,151,0.170058935880661,
0.13755734264850616,38,155,,
,38,155,0.1682644635438919,
0.13592489063739777,39,159,,
,39,159,0.16648277640342712,
0.13412071764469147,40,163,,
,40,163,0.16423530876636505,
0.13220636546611786,41,167,,
,41,167,0.16116133332252502,
0.13049226999282837,42,171,,
,42,171,0.15976788103580475,
0.12889771163463593,43,175,,
,43,175,0.1566290408372879,
0.1272744983434677,44,179,,
,44,179,0.15434588491916656,
0.12571775913238525,45,183,,
,45,183,0.1518470197916031,
0.12403584271669388,46,187,,
,46,187,0.15071803331375122,
0.12250804901123047,47,191,,
,47,191,0.1482328325510025,
0.12111832946538925,48,195,,
,48,195,0.14647291600704193,
,49,199,,0.14455513656139374
0.11984673142433167,49,199,,
,49,199,0.143917053937912,
